Substructure,Count,Count max,step max,step min,step count,step_list,median_score_fragment_max,median_score_fragment_min,Mean score cluster,median_score_fragment_list,diff_median_score_max,diff_median_score_min,Mean diff score,diff_median_score_list,count_per_molecule_max,count_per_molecule_first,count_per_molecule_mean,Total Number of Molecules with Substructure,Number of Molecules with Substructure List,Molecules containing fragment,Number of Molecules_with_Fragment,count_perc_ratio
C(=Cc1ccccc1)c1ccccc1,6,4,70,20,2,"[20, 70]",0.0,0.0,0.0,"[0.0, 0.0]",-0.0034858,-0.0129974,-0.0082416,"[-0.0034858, -0.0129974]",2,1,1.5,3,"[1, 2]","{'O=C(CCl)c1ccc(Cl)cc1C=Cc1ccc(Cl)cc1', 'O=C(O)c1ccc(C(=O)O)c(C=Cc2ccccc2)c1O', 'O=C(O)C(=O)C(=Cc1ccc(F)cc1)c1ccccc1'}",3,2.0
C1=C(C2=CCCc3ccccc32)CCCC1,2,2,30,30,1,[30],0.0884788,0.0884788,0.0884788,[0.0884788],0.0813535,0.0813535,0.0813535,[0.0813535],1,1,1.0,1,[1],{'O=CC1=C(C2=CCSc3ccccc32)OCCO1'},1,1.0
C1=C(Cc2ccccc2)CCC1,2,2,10,10,1,[10],0.0109374,0.0109374,0.0109374,[0.0109374],0.0044626,0.0044626,0.0044626,[0.0044626],1,1,1.0,1,[1],{'O=COC(C1=CCSC1)c1ccccc1-c1ccccc1C=O'},1,1.0
C1=C(Cc2ccccc2-c2ccccc2)CCC1,2,2,10,10,1,[10],0.0109374,0.0109374,0.0109374,[0.0109374],0.0044626,0.0044626,0.0044626,[0.0044626],1,1,1.0,1,[1],{'O=COC(C1=CCSC1)c1ccccc1-c1ccccc1C=O'},1,1.0
C1=C(c2ccccc2)C=C(c2ccccc2)C1,3,1,270,90,3,"[90, 190, 270]",0.3199604,0.2805677,0.30476746666666665,"[0.2805677, 0.3199604, 0.3137743]",0.2537117,-0.11244915,0.01840958333333333,"[0.2537117, -0.0860338, -0.11244915]",1,1,1.0,3,"[1, 1, 1]","{'Clc1ccc(C2=CC(c3ccccc3)=CC2=Cc2ccc(-c3ccccc3)o2)cc1', 'Clc1ccc(C2=CC(c3ccccc3)=CC2=Cc2ccc(-c3ccc(Cl)cc3)o2)cc1', 'C(=C1C=C(c2ccccc2)C=C1c1ccccc1)c1ccc(Cc2ccccc2)cc1'}",3,1.0
C1=C(c2ccccc2)CC(C2CCC2)C1,2,2,30,30,1,[30],0.0,0.0,0.0,[0.0],-0.0101241,-0.0101241,-0.0101241,[-0.0101241],1,1,1.0,1,[1],{'COC(=O)C1(C2CC(c3ccccc3)=NN2)CSC1'},1,1.0
C1=C(c2ccccc2)CCC1,2,2,30,30,1,[30],0.0,0.0,0.0,[0.0],-0.0101241,-0.0101241,-0.0101241,[-0.0101241],1,1,1.0,1,[1],{'COC(=O)C1(C2CC(c3ccccc3)=NN2)CSC1'},1,1.0
C1=C2C=c3ccccc3=CC(=C1)CCC2,1,1,60,60,1,[60],0.0,0.0,0.0,[0.0],-0.0048719,-0.0048719,-0.0048719,[-0.0048719],1,1,1.0,1,[1],{'O=C1CCc2cc(=O)c1c([O-])c1ccccc1c2=O'},1,1.0
C1=C2CCC(C2)c2ccccc21,4,3,60,40,2,"[40, 60]",0.1206392,0.0067135,0.06367635,"[0.0067135, 0.1206392]",0.1178828,0.00459155,0.061237175,"[0.00459155, 0.1178828]",1,1,1.0,2,"[1, 1]","{'CCSC(=O)C1(F)CC2=C(C)c3ccccc3C1O2', 'CCC(=O)C12CC(=O)C(=Cc3ccccc31)O2'}",2,1.0
C1=C2CCCC1c1ccccc12,1,1,40,40,1,[40],0.013749,0.013749,0.013749,[0.013749],0.01162705,0.01162705,0.01162705,[0.01162705],1,1,1.0,1,[1],{'O=C1CCC2C(Cl)=C1c1ccccc12'},1,1.0
C1=C2CCCC2CCc2ccccc21,1,1,30,30,1,[30],0.0393552,0.0393552,0.0393552,[0.0393552],0.0322299,0.0322299,0.0322299,[0.0322299],1,1,1.0,1,[1],{'CC(=O)C1Cc2ccccc2C=C2C(=O)CCC21'},1,1.0
C1=C2CCCCC2c2ccccc2CC1,1,1,30,30,1,[30],0.001926,0.001926,0.001926,[0.001926],-0.0081981,-0.0081981,-0.0081981,[-0.0081981],1,1,1.0,1,[1],{'CC1(C)OCCC2C1=CSC(=O)c1ccccc12'},1,1.0
C1=C2Cc3ccccc3C2CC1,1,1,120,120,1,[120],0.0,0.0,0.0,[0.0],-0.1597983499999999,-0.1597983499999999,-0.1597983499999999,[-0.1597983499999999],1,1,1.0,1,[1],{'O=C1C2=CCC(=O)N2c2ccccc21'},1,1.0
C1=C2Cc3ccccc3C2Cc2ccccc21,1,1,80,80,1,[80],0.0746594,0.0746594,0.0746594,[0.0746594],0.0680367,0.0680367,0.0680367,[0.0680367],1,1,1.0,1,[1],{'O=C1C2=Cc3ccc(F)cc3C(=O)C2(O)c2ccccc21'},1,1.0
C1=C2Cc3ccccc3CCC2CCC1,3,3,50,50,1,[50],0.0027794,0.0027794,0.0027794,[0.0027794],-0.004363,-0.004363,-0.004363,[-0.004363],1,1,1.0,1,[1],{'CN1C=C2Nc3ccccc3CCN2CC1'},1,1.0
C1=C2c3ccccc3CCCC2CC1,1,1,50,50,1,[50],0.0339667,0.0339667,0.0339667,[0.0339667],0.0269089,0.0269089,0.0269089,[0.0269089],1,1,1.0,1,[1],{'COC(=O)C1=C2c3ccccc3CCOC2C(=O)C1(O)OC'},1,1.0
C1=CC(=Cc2ccc(-c3cccc3)cc2)C=C1,2,2,250,250,1,[250],0.3007017,0.3007017,0.3007017,[0.3007017],-0.1432691999999999,-0.1432691999999999,-0.1432691999999999,[-0.1432691999999999],1,1,1.0,1,[1],{'C1=CC(Nc2ccccc2)=CC1=Cc1ccc(-c2ccco2)cc1'},1,1.0
C1=CC(=Cc2ccc(-c3ccccc3)c2)C(c2ccccc2)=C1,4,2,270,190,2,"[190, 270]",0.3199604,0.3137743,0.31686735,"[0.3199604, 0.3137743]",-0.0860338,-0.11244915,-0.099241475,"[-0.0860338, -0.11244915]",1,1,1.0,2,"[1, 1]","{'Clc1ccc(C2=CC(c3ccccc3)=CC2=Cc2ccc(-c3ccccc3)o2)cc1', 'Clc1ccc(C2=CC(c3ccccc3)=CC2=Cc2ccc(-c3ccc(Cl)cc3)o2)cc1'}",2,1.0
C1=CC(=Cc2ccc(-c3ccccc3)c2)C=C1,4,2,270,190,2,"[190, 270]",0.3199604,0.3137743,0.31686735,"[0.3199604, 0.3137743]",-0.0860338,-0.11244915,-0.099241475,"[-0.0860338, -0.11244915]",1,1,1.0,2,"[1, 1]","{'Clc1ccc(C2=CC(c3ccccc3)=CC2=Cc2ccc(-c3ccccc3)o2)cc1', 'Clc1ccc(C2=CC(c3ccccc3)=CC2=Cc2ccc(-c3ccc(Cl)cc3)o2)cc1'}",2,1.0
C1=CC(=Cc2ccc(Cc3ccccc3)cc2)C(c2ccccc2)=C1,2,2,90,90,1,[90],0.2805677,0.2805677,0.2805677,[0.2805677],0.2537117,0.2537117,0.2537117,[0.2537117],1,1,1.0,1,[1],{'C(=C1C=C(c2ccccc2)C=C1c1ccccc1)c1ccc(Cc2ccccc2)cc1'},1,1.0
C1=CC(=Cc2ccc(Cc3ccccc3)cc2)C=C1,2,2,90,90,1,[90],0.2805677,0.2805677,0.2805677,[0.2805677],0.2537117,0.2537117,0.2537117,[0.2537117],1,1,1.0,1,[1],{'C(=C1C=C(c2ccccc2)C=C1c1ccccc1)c1ccc(Cc2ccccc2)cc1'},1,1.0
C1=CC(=Cc2cccc2)C(c2ccccc2)=C1,4,2,270,190,2,"[190, 270]",0.3199604,0.3137743,0.31686735,"[0.3199604, 0.3137743]",-0.0860338,-0.11244915,-0.099241475,"[-0.0860338, -0.11244915]",1,1,1.0,2,"[1, 1]","{'Clc1ccc(C2=CC(c3ccccc3)=CC2=Cc2ccc(-c3ccccc3)o2)cc1', 'Clc1ccc(C2=CC(c3ccccc3)=CC2=Cc2ccc(-c3ccc(Cl)cc3)o2)cc1'}",2,1.0
C1=CC(=Cc2cccc2)C=C1,4,2,270,190,2,"[190, 270]",0.3199604,0.3137743,0.31686735,"[0.3199604, 0.3137743]",-0.0860338,-0.11244915,-0.099241475,"[-0.0860338, -0.11244915]",1,1,1.0,2,"[1, 1]","{'Clc1ccc(C2=CC(c3ccccc3)=CC2=Cc2ccc(-c3ccccc3)o2)cc1', 'Clc1ccc(C2=CC(c3ccccc3)=CC2=Cc2ccc(-c3ccc(Cl)cc3)o2)cc1'}",2,1.0
C1=CC(=Cc2ccccc2)C(c2ccccc2)=C1,2,2,90,90,1,[90],0.2805677,0.2805677,0.2805677,[0.2805677],0.2537117,0.2537117,0.2537117,[0.2537117],1,1,1.0,1,[1],{'C(=C1C=C(c2ccccc2)C=C1c1ccccc1)c1ccc(Cc2ccccc2)cc1'},1,1.0
C1=CC(=Cc2ccccc2)C=C1,6,2,480,90,3,"[90, 250, 480]",0.3014144,0.2805677,0.29422793333333336,"[0.2805677, 0.3007017, 0.3014144]",0.2537117,-0.1432691999999999,-0.009029299999999971,"[0.2537117, -0.1432691999999999, -0.1375304]",1,1,1.0,3,"[1, 1, 1]","{'ClC(=C1C=CC(Nc2ccco2)=C1)c1ccccc1', 'C(=C1C=C(c2ccccc2)C=C1c1ccccc1)c1ccc(Cc2ccccc2)cc1', 'C1=CC(Nc2ccccc2)=CC1=Cc1ccc(-c2ccco2)cc1'}",3,1.0
C1=CC(=Cc2ccccc2)CC1,2,2,40,40,1,[40],0.0029975,0.0029975,0.0029975,[0.0029975],0.00087555,0.00087555,0.00087555,[0.00087555],1,1,1.0,1,[1],{'NC1=NC(=Nc2ccc(NC(=O)c3ccccc3)cc2)CO1'},1,1.0
C1=CC(Cc2cccc2)=CC1=Cc1ccccc1,2,2,480,480,1,[480],0.3014144,0.3014144,0.3014144,[0.3014144],-0.1375304,-0.1375304,-0.1375304,[-0.1375304],1,1,1.0,1,[1],{'ClC(=C1C=CC(Nc2ccco2)=C1)c1ccccc1'},1,1.0
C1=CC(Cc2ccccc2)=CC1,1,1,250,250,1,[250],0.3007017,0.3007017,0.3007017,[0.3007017],-0.1432691999999999,-0.1432691999999999,-0.1432691999999999,[-0.1432691999999999],1,1,1.0,1,[1],{'C1=CC(Nc2ccccc2)=CC1=Cc1ccc(-c2ccco2)cc1'},1,1.0
C1=CC(Cc2ccccc2)=CC1=Cc1ccc(-c2cccc2)cc1,1,1,250,250,1,[250],0.3007017,0.3007017,0.3007017,[0.3007017],-0.1432691999999999,-0.1432691999999999,-0.1432691999999999,[-0.1432691999999999],1,1,1.0,1,[1],{'C1=CC(Nc2ccccc2)=CC1=Cc1ccc(-c2ccco2)cc1'},1,1.0
C1=CC(Cc2ccccc2)=CC1=Cc1ccccc1,2,2,250,250,1,[250],0.3007017,0.3007017,0.3007017,[0.3007017],-0.1432691999999999,-0.1432691999999999,-0.1432691999999999,[-0.1432691999999999],1,1,1.0,1,[1],{'C1=CC(Nc2ccccc2)=CC1=Cc1ccc(-c2ccco2)cc1'},1,1.0
C1=CC(c2cc(-c3ccccc3)c3ccccc23)=CC1,2,2,420,420,1,[420],0.3729588,0.3729588,0.3729588,[0.3729588],-0.0785817,-0.0785817,-0.0785817,[-0.0785817],1,1,1.0,1,[1],{'CC1(C)C=CC(c2oc(-c3ccc(Br)cc3)c3ccccc23)=C1'},1,1.0
C1=CC(c2ccc3ccccc23)=CC1,2,2,420,420,1,[420],0.3729588,0.3729588,0.3729588,[0.3729588],-0.0785817,-0.0785817,-0.0785817,[-0.0785817],1,1,1.0,1,[1],{'CC1(C)C=CC(c2oc(-c3ccc(Br)cc3)c3ccccc23)=C1'},1,1.0
C1=CC(c2ccccc2)=CC1=Cc1ccc(-c2ccccc2)c1,4,2,270,190,2,"[190, 270]",0.3199604,0.3137743,0.31686735,"[0.3199604, 0.3137743]",-0.0860338,-0.11244915,-0.099241475,"[-0.0860338, -0.11244915]",1,1,1.0,2,"[1, 1]","{'Clc1ccc(C2=CC(c3ccccc3)=CC2=Cc2ccc(-c3ccccc3)o2)cc1', 'Clc1ccc(C2=CC(c3ccccc3)=CC2=Cc2ccc(-c3ccc(Cl)cc3)o2)cc1'}",2,1.0
C1=CC(c2ccccc2)=CC1=Cc1ccc(Cc2ccccc2)cc1,2,2,90,90,1,[90],0.2805677,0.2805677,0.2805677,[0.2805677],0.2537117,0.2537117,0.2537117,[0.2537117],1,1,1.0,1,[1],{'C(=C1C=C(c2ccccc2)C=C1c1ccccc1)c1ccc(Cc2ccccc2)cc1'},1,1.0
C1=CC(c2ccccc2)=CC1=Cc1cccc1,4,2,270,190,2,"[190, 270]",0.3199604,0.3137743,0.31686735,"[0.3199604, 0.3137743]",-0.0860338,-0.11244915,-0.099241475,"[-0.0860338, -0.11244915]",1,1,1.0,2,"[1, 1]","{'Clc1ccc(C2=CC(c3ccccc3)=CC2=Cc2ccc(-c3ccccc3)o2)cc1', 'Clc1ccc(C2=CC(c3ccccc3)=CC2=Cc2ccc(-c3ccc(Cl)cc3)o2)cc1'}",2,1.0
C1=CC(c2ccccc2)=CC1=Cc1ccccc1,2,2,90,90,1,[90],0.2805677,0.2805677,0.2805677,[0.2805677],0.2537117,0.2537117,0.2537117,[0.2537117],1,1,1.0,1,[1],{'C(=C1C=C(c2ccccc2)C=C1c1ccccc1)c1ccc(Cc2ccccc2)cc1'},1,1.0
C1=CC(c2ccccc2)Cc2ccccc21,2,2,40,40,1,[40],0.0,0.0,0.0,[0.0],-0.0026177,-0.0026177,-0.0026177,[-0.0026177],1,1,1.0,1,[1],{'O=CC1=Cc2ccccc2CC1(O)c1ccccc1'},1,1.0
C1=CC(c2ccccc2)c2ccccc21,2,2,120,120,1,[120],0.028947,0.028947,0.028947,[0.028947],-0.1308513499999999,-0.1308513499999999,-0.1308513499999999,[-0.1308513499999999],1,1,1.0,1,[1],{'COC(=O)C1=Nc2ccccc2C1c1ccc(OC)cc1'},1,1.0
C1=CC1,2,2,10,10,1,[10],0.0021681,0.0021681,0.0021681,[0.0021681],-0.0045272,-0.0045272,-0.0045272,[-0.0045272],1,1,1.0,1,[1],{'COCC1=CC1(C)SC(=O)Cc1coc2ccccc12'},1,1.0
C1=CC1Cc1ccccc1,2,2,50,50,1,[50],0.0700594,0.0700594,0.0700594,[0.0700594],0.0630015999999999,0.0630015999999999,0.0630015999999999,[0.0630015999999999],1,1,1.0,1,[1],{'O=C1CCC(C2(Cc3ccccc3)N=N2)C(=O)N1'},1,1.0
C1=CC2CC(C1)CCc1ccccc12,1,1,70,70,1,[70],0.0143447,0.0143447,0.0143447,[0.0143447],0.0046246,0.0046246,0.0046246,[0.0046246],1,1,1.0,1,[1],{'O=C1C=CC2C(=O)C1COc1ccccc12'},1,1.0
C1=CC2CC(C1)Cc1ccccc12,1,1,50,50,1,[50],0.001816,0.001816,0.001816,[0.001816],-0.0053264,-0.0053264,-0.0053264,[-0.0053264],1,1,1.0,1,[1],{'O=C1C=CC2C(=O)N1Cc1ccccc12'},1,1.0
C1=CC2CCCCc3ccccc3C2C1,1,1,10,10,1,[10],0.0,0.0,0.0,[0.0],-0.0066953,-0.0066953,-0.0066953,[-0.0066953],1,1,1.0,1,[1],{'O=C1CCC2C=CC(=O)C2c2ccccc2C1=O'},1,1.0
C1=CC2CCc3ccccc3CC(CC1)C2,1,1,80,80,1,[80],0.0,0.0,0.0,[0.0],-0.0066976,-0.0066976,-0.0066976,[-0.0066976],1,1,1.0,1,[1],{'COC12CC(C=CC(=O)O1)OC(=O)c1ccccc1C2=O'},1,1.0
C1=CC2Cc3cccc3CC2C1,1,1,90,90,1,[90],0.0993706,0.0993706,0.0993706,[0.0993706],0.0725146,0.0725146,0.0725146,[0.0725146],1,1,1.0,1,[1],{'O=C1c2cc(-c3ccccc3)oc2C(=O)C2C(=O)C=CC12'},1,1.0
C1=CCC(=Cc2cccc3ccccc23)C1,2,2,70,70,1,[70],0.0919774,0.0919774,0.0919774,[0.0919774],0.0822573,0.0822573,0.0822573,[0.0822573],1,1,1.0,1,[1],{'CC(=O)C1=C(C(C)=O)OC(=Cc2cccc3cccnc23)O1'},1,1.0
C1=CCC(C2CCC2)C1,2,2,30,30,1,[30],0.0,0.0,0.0,[0.0],-0.0101241,-0.0101241,-0.0101241,[-0.0101241],1,1,1.0,1,[1],{'COC(=O)C1(C2CC(c3ccccc3)=NN2)CSC1'},1,1.0
C1=CCC2=CCc3ccccc3C2=C1,1,1,100,100,1,[100],0.0322014,0.0322014,0.0322014,[0.0322014],0.0003497999999999,0.0003497999999999,0.0003497999999999,[0.0003497999999999],1,1,1.0,1,[1],{'O=c1ccc2c([nH]1)c(=O)oc1ccccc12'},1,1.0
C1=CCC2CCC=C2C1,1,1,10,10,1,[10],0.0006974,0.0006974,0.0006974,[0.0006974],-0.0059979,-0.0059979,-0.0059979,[-0.0059979],1,1,1.0,1,[1],{'COC(=O)CC1=CCC2=CC(=O)NC2C1c1ccccc1'},1,1.0
C1=CCCC1,2,1,70,10,2,"[10, 70]",0.0919774,0.0109374,0.0514574,"[0.0109374, 0.0919774]",0.0822573,0.0044626,0.04335995,"[0.0044626, 0.0822573]",1,1,1.0,2,"[1, 1]","{'O=COC(C1=CCSC1)c1ccccc1-c1ccccc1C=O', 'CC(=O)C1=C(C(C)=O)OC(=Cc2cccc3cccnc23)O1'}",2,1.0
C1=CCCCC1,1,1,30,30,1,[30],0.0884788,0.0884788,0.0884788,[0.0884788],0.0813535,0.0813535,0.0813535,[0.0813535],1,1,1.0,1,[1],{'O=CC1=C(C2=CCSc3ccccc32)OCCO1'},1,1.0
C1=CCCc2ccccc2CC1,1,1,60,60,1,[60],0.0,0.0,0.0,[0.0],-0.0048719,-0.0048719,-0.0048719,[-0.0048719],1,1,1.0,1,[1],{'O=C1C=C(C(=O)c2ccco2)OC(=O)c2ccc([N+](=O)[O-])cc2O1'},1,1.0
C1=CCc2ccccc2C1,19,3,270,50,13,"[50, 60, 70, 90, 100, 110, 130, 140, 150, 170, 200, 230, 270]",0.2582741,0.0,0.15370269615384616,"[0.1043228, 0.0697185, 0.008673, 0.2013372, 0.1482896, 0.1685804, 0.1902862, 0.0, 0.1656554499999999, 0.2310088, 0.2582741, 0.2144547, 0.2375343]",0.17923655,-0.26705825,-0.053159796153846146,"[0.0972649999999999, 0.0669621, -0.0014535999999999, 0.17923655, 0.1231747, 0.0955842, -0.060287, -0.26705825, -0.1898768, -0.1609737, -0.1599251, -0.2250362999999999, -0.18868915]",3,1,1.4615384615384615,19,"[1, 1, 2, 3, 2, 2, 1, 1, 2, 1, 1, 1, 1]","{'O=C1C=CCc2ccccc21', 'O=C1C=C(Nc2ccccc2)C(=O)c2ccc([N+](=O)[O-])cc21', 'O=C1C=CC(=O)c2cc(O)ccc21', 'O=C1C(Nc2cccc3cccnc23)=CC(=O)c2ncccc21', 'O=C1C=C(Nc2ccccn2)C(=O)c2ccccc21', 'O=C1C=C(Nc2cccc3nccnc23)C(=O)c2ccccc21', 'O=C1C=C(Nc2ccnc3cccnc23)C(=O)c2ccc([N+](=O)[O-])cc21', 'O=C1C=C(N=Cc2ccccn2)C(=O)c2ccccc21', 'O=C1C=C(Nc2cccc3cccnc23)C(=O)c2ccccc21', 'O=C1C(Nc2cccnc2)=CC(=O)c2ncccc21', 'O=C1C=C(Nc2cccnc2)C(=O)c2ccc(F)cc21', 'O=C1C=C(Nc2ccc[nH]2)C(=O)c2ccccc21', 'O=C1C=CC(=O)c2ccccc21', 'O=C1C=C(Nc2cccnc2)C(=O)c2ccccc21', 'O=C1C=C(C2=CC(=O)c3ccccc32)C(=O)c2ccccc21', 'O=C1C=C(c2ccccc2O)C(=O)c2ccccc21', 'O=C1C(Nc2ccccn2)=CC(=O)c2ncccc21', 'COc1ccc2c(c1)C(=O)C(SC)=CC2=O', 'O=C1C(Nc2cccc3nccnc23)=CC(=O)c2ncccc21'}",19,3.0
C1=CCc2ccccc2CC1,3,1,150,50,3,"[50, 80, 150]",0.1001468,0.0157908,0.04401196666666666,"[0.0160983, 0.0157908, 0.1001468]",0.0091681,-0.2515078,-0.0777664,"[0.0090405, 0.0091681, -0.2515078]",1,1,1.0,3,"[1, 1, 1]","{'O=C1C(Nc2ccccn2)=CCC(=O)c2ncccc21', 'O=C1C=C(Cc2ccccc2)CC(=O)c2ccccc21', 'COCC1=CCC(=O)c2ccccc2C1=O'}",3,1.0
C1=Cc2cccc2CC1,1,1,130,130,1,[130],0.2505732,0.2505732,0.2505732,[0.2505732],0.0327425999999999,0.0327425999999999,0.0327425999999999,[0.0327425999999999],1,1,1.0,1,[1],{'N#CC1=C(C#N)c2c(oc(-c3ccccc3)c2-c2ccccc2)C(=O)C1'},1,1.0
C1=Cc2ccccc2C1,15,3,140,50,8,"[50, 60, 80, 100, 110, 120, 130, 140]",0.2696431999999999,0.0,0.144122275,"[0.120705, 0.0, 0.1717092, 0.1312314, 0.19530175, 0.028947, 0.23544065, 0.2696431999999999]",0.1650865,-0.1308513499999999,0.04703918749999997,"[0.1136472, -0.0048719, 0.1650865, 0.1068708499999999, 0.1223055499999999, -0.1308513499999999, 0.0012387499999999, 0.0028878999999999]",3,1,1.625,13,"[1, 1, 1, 3, 2, 1, 2, 2]","{'O=C1C=Cc2ccccc2C1=C1C=Cc2ccccc21', 'O=CC1=Cc2ccccc2C1=O', 'O=CC1=Cc2ccccc2C1=NO', 'COC(=O)C1=Nc2ccccc2C1c1ccc(OC)cc1', 'CC(C)(Br)C1=Nc2ccccc2C1=O', 'O=C1C=C(C2=CC(=O)c3ccccc32)C(=O)c2ccccc21', 'CC(=O)Oc1ccc(C2=Nc3ccccc3C2=O)cc1', 'NC(=O)C1=Nc2ccccc2C1=C1C(=O)c2ccccc2C1=O', 'O=C1CCc2ccccc2C1=C1C=Cc2ccccc21', 'O=C1C(=C2C=Cc3ccccc32)Oc2ccccc21', 'O=CC1=Cc2ccccc2C1=C1C=C(c2ccccc2)OC1=O', 'O=C1C(c2cc([N+](=O)[O-])ccc2C(=O)O)=Nc2ccccc21', 'N#CC1=C(N)c2ccccc2C1=O'}",13,3.0
C1=Cc2ccccc2C2=C(C1)Cc1ccccc1C2,1,1,140,140,1,[140],0.0813485,0.0813485,0.0813485,[0.0813485],-0.18570975,-0.18570975,-0.18570975,[-0.18570975],1,1,1.0,1,[1],{'O=C1C2=C(C(=O)c3ccccc31)c1ccccc1C=CC2'},1,1.0
