Substructure,Count,Count ratio,Number_of_molecules_with_fragment,Ratio_of_Molecules_with_Fragment,max_similarity,median_score,median_score_fragment,median_score_not_fragment,molecules_with_fragment,num_atoms,diff_median_score,step
O=C1CC(COC(=O)OCc2ccccc2)CO1,1,1.9230769230769231,1,1.9230769230769231,0.15789473684210525,0.0,0.0,0.0,0.0,18,0.0,10
CC1C(=O)C(CC(C)(C)C)SS(=O)(=O)c2ccccc21,1,1.9230769230769231,1,1.9230769230769231,0.15555555555555556,0.0,0.0,0.0,0.0,20,0.0,10
O=C1CCC(c2ccccc2O)C(=O)N1,1,1.9230769230769231,1,1.9230769230769231,0.2,0.0,0.0,0.0,0.0,15,0.0,10
O=C1CCC(C2(C(=O)O)c3ccccc3C(=O)N2O)CC1,1,1.9230769230769231,1,1.9230769230769231,0.16483516483516483,0.0,0.0,0.0,0.0,21,0.0,10
CCC(Cc1ccccc1)OC(=O)C1(O)CC(=O)C=C1C(=O)c1ccccc1O,1,1.9230769230769231,1,1.9230769230769231,0.13821138211382114,0.0,0.0,0.0,0.0,29,0.0,10
O=C(O)CCCC1COC(=O)C(O)C1=Cc1ccccc1,1,1.9230769230769231,1,1.9230769230769231,0.1717171717171717,0.0,0.0,0.0,0.0,21,0.0,10
CC(C)(C)OC(=O)N1CCCCC1C(=O)c1ccccc1C(=O)c1ccccc1,1,1.9230769230769231,1,1.9230769230769231,0.15384615384615385,0.0,0.0,0.0,0.0,29,0.0,10
O=CC1CSC(=O)Nc2ccccc21,1,1.9230769230769231,1,1.9230769230769231,0.1794871794871795,0.0,0.0,0.0,0.0,14,0.0,10
O=C(CC1CCc2ccccc2C1=O)C(=O)c1ccc(Cl)cc1,1,1.9230769230769231,1,1.9230769230769231,0.18095238095238095,0.0,0.0,0.0,0.0,23,0.0,10
CCOC(=O)C(=Cc1coc2ccccc12)C(=O)OCC,1,1.9230769230769231,1,1.9230769230769231,0.2,0.0,0.0,0.0,0.0,21,0.0,10
O=C(O)C(=O)CC1CC(=O)C(O)C(O)c2ccccc21,1,1.9230769230769231,1,1.9230769230769231,0.17777777777777778,0.0,0.0,0.0,0.0,20,0.0,10
O=C1CCC(=C2Oc3ccccc3C2CCO)C(=O)O1,1,1.9230769230769231,1,1.9230769230769231,0.16666666666666666,0.0,0.0,0.0,0.0,20,0.0,10
O=C(COC(=O)Cc1cccc2cccnc12)OCCOCC(=O)c1ccccc1,1,1.9230769230769231,1,1.9230769230769231,0.1323529411764706,0.0,0.0,0.0,0.0,30,0.0,10
O=CC1CC(=O)c2ccccc2O1,1,1.9230769230769231,1,1.9230769230769231,0.21428571428571427,0.0,0.0,0.0,0.0,13,0.0,10
CCC1(OC(=O)c2ccccc2C)CCC(=O)C1C,1,1.9230769230769231,1,1.9230769230769231,0.2073170731707317,0.0,0.0,0.0,0.0,19,0.0,10
O=CCn1c(=S)[nH]c(=O)c2ccccc21,1,1.9230769230769231,1,1.9230769230769231,0.19736842105263158,0.0,0.0,0.0,0.0,15,0.0,10
O=C1NC(Cc2ccccc2)C(=O)C1c1ccccc1,1,1.9230769230769231,1,1.9230769230769231,0.17204301075268819,0.0,0.0,0.0,0.0,20,0.0,10
O=CC1=CC1=CC(=O)c1ccc(Cl)cc1,1,1.9230769230769231,1,1.9230769230769231,0.1111111111111111,0.0,0.0,0.0,0.0,15,0.0,10
c1ccc(-c2oc3ccccc3c2-c2ccccc2)cc1,1,1.9230769230769231,1,1.9230769230769231,0.2289156626506024,0.0,0.0,0.0,0.0,21,0.0,10
CC=C1C(=O)N(CC)C(=O)CC1c1ccccc1,1,1.9230769230769231,1,1.9230769230769231,0.16470588235294117,0.0,0.0,0.0,0.0,18,0.0,10
O=CN1C(=S)N(Cc2ccccc2)C(=O)C(F)(F)C1c1cccc([N+](=O)[O-])c1,1,1.9230769230769231,1,1.9230769230769231,0.1565217391304348,0.0,0.0,0.0,0.0,28,0.0,10
O=C1c2ccccc2-c2ccc(=O)oc21,1,1.9230769230769231,1,1.9230769230769231,0.2857142857142857,0.0,0.0,0.0,0.0,15,0.0,10
O=C1CCC2C=CC(=O)C2c2ccccc2C1=O,1,1.9230769230769231,1,1.9230769230769231,0.18478260869565216,0.0,0.0,0.0,0.0,18,0.0,10
O=C1CCC(C2CC(=O)c3cccnc3O2)C(=O)O1,1,1.9230769230769231,1,1.9230769230769231,0.11224489795918367,0.0,0.0,0.0,0.0,19,0.0,10
O=C1COC(=C2C(=O)c3ccccc3N2CCc2ccccc2)C1,1,1.9230769230769231,1,1.9230769230769231,0.1559633027522936,0.0,0.0,0.0,0.0,24,0.0,10
O=C1CCC(=C2CCc3ccccc32)N1,1,1.9230769230769231,1,1.9230769230769231,0.22666666666666666,0.0,0.0,0.0,0.0,15,0.0,10
NC(=O)C1(CC(=O)c2ccccc2)COCO1,1,1.9230769230769231,1,1.9230769230769231,0.17073170731707318,0.0,0.0,0.0,0.0,17,0.0,10
O=C1CCC(CC2OC(=O)c3ccccc32)CCO1,1,1.9230769230769231,1,1.9230769230769231,0.1958762886597938,0.0,0.0,0.0,0.0,19,0.0,10
Cc1sc2ccccc2c(=O)c1Sc1ccc(OCC(=O)O)cc1,1,1.9230769230769231,1,1.9230769230769231,0.1743119266055046,0.0,0.0,0.0,0.0,24,0.0,10
O=C1CCc2c(ccc3ccccc23)C1=O,1,1.9230769230769231,1,1.9230769230769231,0.2631578947368421,0.0,0.0,0.0,0.0,16,0.0,10
O=C(Nc1ccccc1)C1OC1(O)C(=O)Nc1ccccc1,1,1.9230769230769231,1,1.9230769230769231,0.16326530612244897,0.0,0.0,0.0,0.0,22,0.0,10
O=CN1c2ccccc2SC1C(=O)c1ccc(O)cc1,1,1.9230769230769231,1,1.9230769230769231,0.1702127659574468,0.0,0.0,0.0,0.0,20,0.0,10
O=CC1=Cc2ccccc2C(=O)C1c1ccc(Cl)cc1,1,1.9230769230769231,1,1.9230769230769231,0.20224719101123595,0.0,0.0,0.0,0.0,20,0.0,10
NC(=O)C1(c2ccccc2)NCCOc2ccccc21,1,1.9230769230769231,1,1.9230769230769231,0.17204301075268819,0.0,0.0,0.0,0.0,20,0.0,10
O=C1C=CC(=Cc2ccccc2O)CC1,1,1.9230769230769231,1,1.9230769230769231,0.18181818181818182,0.0,0.0,0.0,0.0,15,0.0,10
O=C1COC(=Cc2c[nH]c3ccccc23)CC1O,1,1.9230769230769231,1,1.9230769230769231,0.18478260869565216,0.0,0.0,0.0,0.0,18,0.0,10
O=C1OCC(CC(=O)c2ccccc2)C(=O)O1,1,2.0,1,2.0,0.16470588235294117,0.0,0.0,0.0,0.0,17,0.0,20
O=C1Cc2ccccc2C(=O)N1CC(Br)C(F)c1ccccc1,1,2.0,1,2.0,0.1308411214953271,0.0,0.0,0.0,0.0,23,0.0,20
O=CSC1c2ccccc2C(=O)C1c1ccc(Cl)cc1,1,2.0,1,2.0,0.16483516483516483,0.0,0.0,0.0,0.0,20,0.0,20
COCC1=Cc2ccccc2C(=O)C1(O)S(=O)(=O)c1ccc(C)cc1,1,2.0,1,2.0,0.18095238095238095,0.0,0.0,0.0,0.0,25,0.0,20
O=C1CC(=O)C(O)(c2ccccc2)c2ccccc21,1,2.0,1,2.0,0.20481927710843373,0.0,0.0,0.0,0.0,19,0.0,20
CCOC(=O)C1=CCC(=O)N1c1ccccc1,1,2.0,1,2.0,0.19753086419753085,0.0,0.0,0.0,0.0,17,0.0,20
O=C(CC(C=CC(F)(F)F)C(=O)c1ccccc1)Nc1ccccc1,1,2.0,1,2.0,0.13333333333333333,0.0,0.0,0.0,0.0,25,0.0,20
CC1(C)OC(=S)CC1(O)C(=O)N(Cc1ccccc1)c1ccccc1C=O,1,2.0,1,2.0,0.14414414414414414,0.0,0.0,0.0,0.0,27,0.0,20
O=C1OC(Cc2coc(-c3ccccc3)n2)CC1(O)O,1,2.0,1,2.0,0.19791666666666666,0.0,0.0,0.0,0.0,20,0.0,20
O=C1CCC(C(CCC(=O)c2ccccc2)OC(=O)OC(CBr)c2ccccc2)C1,1,2.0,1,2.0,0.125,0.0,0.0,0.0,0.0,30,0.0,20
COC(=O)C1(C)CCC2(c3ccccc3O)COC1C(=O)c1ccc(-c3ccccc3)cc12,1,2.0,1,2.0,0.14084507042253522,0.0,0.0,0.0,0.0,33,0.0,20
O=C1CCc2ccccc2CC1=O,1,2.0,1,2.0,0.19444444444444445,0.0,0.0,0.0,0.0,13,0.0,20
O=C1OC(Cc2ccccc2)c2ccccc21,1,2.0,1,2.0,0.20253164556962025,0.0,0.0,0.0,0.0,17,0.0,20
CCOc1ccc(C2OC(=O)CCC2CC)cc1,1,2.0,1,2.0,0.19540229885057472,0.0,0.0,0.0,0.0,18,0.0,20
O=CC1CC(=O)OC(c2ccccc2)C1SCc1ccc(Cl)cc1,1,2.0,1,2.0,0.13513513513513514,0.0,0.0,0.0,0.0,24,0.0,20
O=C1CCC(C2OC(=O)c3ccccc3COCCC23CC3)N1,1,2.0,1,2.0,0.1504424778761062,0.0,0.0,0.0,0.0,23,0.0,20
O=C(Nc1ccccc1F)c1ccc(Br)cc1,1,2.0,1,2.0,0.17073170731707318,0.0,0.0,0.0,0.0,17,0.0,20
O=C1CC2(CC(=O)N(Cc3ccccc3)O2)OC(=O)C1=O,1,2.0,1,2.0,0.18556701030927836,0.0,0.0,0.0,0.0,21,0.0,20
O=C(OC12C(=O)OCCC1C(=O)c1ccccc1OC21CC1)c1ccccc1,1,2.0,1,2.0,0.17647058823529413,0.0,0.0,0.0,0.0,28,0.0,20
O=C(Cc1ccccc1)OCC(=O)c1ccccc1,1,2.0,1,2.0,0.15384615384615385,0.0,0.0,0.0,0.0,19,0.0,20
O=C1CC(=O)c2ccccc2O1,1,2.0,1,2.0,0.23076923076923078,0.0,0.0,0.0,0.0,12,0.0,20
O=c1c2ccccc2cc(CO)n1CCOCc1ccccc1,1,2.0,1,2.0,0.21359223300970873,0.0,0.0,0.0,0.0,23,0.0,20
O=C(O)c1ccc(C(=O)O)c(C=Cc2ccccc2)c1O,1,2.0,1,2.0,0.15384615384615385,0.0,0.0,0.0,0.0,21,0.0,20
O=C1OC(Cc2ccccc2)C(=O)c2ccccc21,1,2.0,1,2.0,0.16853932584269662,0.0,0.0,0.0,0.0,19,0.0,20
O=C(COC(=O)c1ccccc1)Nc1ccccc1,1,2.0,1,2.0,0.16853932584269662,0.0,0.0,0.0,0.0,19,0.0,20
S=C(Nc1ccccc1)n1nnc2ccccc21,1,2.0,1,2.0,0.14444444444444443,0.0,0.0,0.0,0.0,18,0.0,20
O=c1c2ccccc2[nH]c(=S)n1CCc1ccc(O)cc1,1,2.0,1,2.0,0.1836734693877551,0.0,0.0,0.0,0.0,21,0.0,20
O=C(OCCN1C(=O)c2ccccc2C1=O)c1ccc([N+](=O)[O-])cc1,1,2.0,1,2.0,0.17272727272727273,0.0,0.0,0.0,0.0,25,0.0,20
O=C1OC(c2ccc(CO)cc2)c2ccccc2C(=O)C1Cl,1,2.0,1,2.0,0.17346938775510204,0.0,0.0,0.0,0.0,22,0.0,20
O=C1OC(=Cc2ccccc2)C(=O)C1c1ccc(O)cc1,1,2.0,1,2.0,0.1875,0.0,0.0,0.0,0.0,21,0.0,20
COC(=O)C1(C2(C(=O)OC)CS(=O)(=O)c3ccccc32)SCS1,1,2.0,1,2.0,0.15463917525773196,0.0,0.0,0.0,0.0,23,0.0,20
O=C(CC12CCCC(=O)C1C(=O)CC2)c1ccccc1,1,2.0,1,2.0,0.18681318681318682,0.0,0.0,0.0,0.0,20,0.0,20
O=C1C(=O)C(c2ccc(Cl)cc2)C(=O)c2ccccc21,1,2.0,1,2.0,0.19540229885057472,0.0,0.0,0.0,0.0,20,0.0,20
O=C1OC(=Cc2ccccc2)C(=O)C1O,1,2.0,1,2.0,0.2318840579710145,0.0,0.0,0.0,0.0,15,0.0,20
O=C1CCc2oc(-c3ccccc3)c(O)c(=O)c2C1,1,2.0,1,2.0,0.19101123595505617,0.0,0.0,0.0,0.0,19,0.0,20
Cc1ccc(C2CC(=O)N(Cc3ccccc3)C2=O)cc1,1,2.0,1,2.0,0.13861386138613863,0.0,0.0,0.0,0.0,21,0.0,20
O=C1CCC(=Cc2ccccc2)CC1,1,2.0,1,2.0,0.2112676056338028,0.0,0.0,0.0,0.0,14,0.0,20
O=CC1(OC(=O)C(F)(F)C(F)c2ccccc2Br)CC1c1ccccc1,1,2.0,1,2.0,0.13274336283185842,0.0,0.0,0.0,0.0,26,0.0,20
CNC(=S)Nc1ccccc1NC(=S)c1ccco1,1,2.0,1,2.0,0.12903225806451613,0.0,0.0,0.0,0.0,19,0.0,20
O=C1C(=C2CC(=O)c3ccccc3N2)N=Cc2ccccc21,1,2.0,1,2.0,0.1553398058252427,0.0,0.0,0.0,0.0,22,0.0,20
O=C1c2ccccc2C(=O)C1(O)Cc1ccccc1,1,2.0,1,2.0,0.2125,0.0,0.0,0.0,0.0,19,0.0,20
O=C1CCC(C2(CC(=O)c3ccccc3)CCCC(=O)O2)C(=O)N1,1,2.0,1,2.0,0.16346153846153846,0.0,0.0,0.0,0.0,24,0.0,20
N#CC12CCC(=O)CC1CC(=O)c1ccccc1O2,1,2.0,1,2.0,0.20212765957446807,0.0,0.0,0.0,0.0,19,0.0,20
O=C(CO)NC1OC(=O)c2ccccc21,1,2.0,1,2.0,0.19736842105263158,0.0,0.0,0.0,0.0,15,0.0,20
CC(C)(C)C(C)(OC(=O)c1ccccc1[N+](=O)[O-])c1ccccc1,1,2.0,1,2.0,0.1702127659574468,0.0,0.0,0.0,0.0,24,0.0,20
O=C1OC(=O)C(c2ccoc2)C1Cc1ccco1,1,2.0,1,2.0,0.12903225806451613,0.0,0.0,0.0,0.0,18,0.0,20
O=C1CCC(=Cc2cccc3cccnc23)C(=O)C1,1,2.0,1,2.0,0.16129032258064516,0.0,0.0,0.0,0.0,19,0.0,20
NC(=O)C1(C2CCC(=O)C2)CCCC1=O,1,2.0,1,2.0,0.125,0.0,0.0,0.0,0.0,15,0.0,20
O=C1Cc2ccccc2C2(CC2)N1,1,2.0,1,2.0,0.20588235294117646,0.0,0.0,0.0,0.0,13,0.0,20
CCC1(O)CCOC(=O)NC1Cc1ccccc1,1,2.0,1,2.0,0.1797752808988764,0.0,0.0,0.0,0.0,18,0.0,20
CC(C)(C)OC1C(=O)c2ccccc2C1O,1,2.0,1,2.0,0.2222222222222222,0.0,0.0,0.0,0.0,16,0.0,30
Cc1cc(S(=O)(=O)Nc2ccccc2Cl)no1,1,2.0,1,2.0,0.1566265060240964,0.0,0.0,0.0,0.0,17,0.0,30
O=C1C=Cc2ccccc2C1Br,1,2.0,1,2.0,0.2,0.0,0.0,0.0,0.0,12,0.0,30
O=C1CCC(COC(=O)c2ccccc2)c2ccccc2N1,1,2.0,1,2.0,0.1574074074074074,0.0,0.0,0.0,0.0,22,0.0,30
O=C1CC(=Cc2ccc(Cl)cc2)C(=O)c2ccccc2O1,1,2.0,1,2.0,0.16161616161616163,0.0,0.0,0.0,0.0,21,0.0,30
O=C1CC(=O)C(C2(O)C(=O)c3ccccc32)O1,1,2.0,1,2.0,0.2077922077922078,0.0,0.0,0.0,0.0,17,0.0,30
CC(=O)OC(=CC#Cc1ccccc1)c1ccccc1,1,2.0,1,2.0,0.15053763440860216,0.0,0.0,0.0,0.0,20,0.0,30
NC(=O)C1(Sc2ccccc2)CCCC1=O,1,2.0,1,2.0,0.2222222222222222,0.0,0.0,0.0,0.0,16,0.0,30
COC(=O)C1(Cc2ccc(OC)cc2)OC(=O)C=Cc2ccc(Br)cc2O1,1,2.0,1,2.0,0.12096774193548387,0.0,0.0,0.0,0.0,27,0.0,30
O=C1CC(=Cc2cccc3cccnc23)C(=O)c2ccccc21,1,2.0,1,2.0,0.17647058823529413,0.0,0.0,0.0,0.0,23,0.0,30
CC1(C)OCC(=Cc2oc(-c3ccccc3)c(Cl)c2O)C1=O,1,2.0,1,2.0,0.20618556701030927,0.0,0.0,0.0,0.0,22,0.0,30
O=C(c1ccccc1)c1cc(-c2ccccc2)c[nH]1,1,2.0,1,2.0,0.1797752808988764,0.0,0.0,0.0,0.0,19,0.0,30
NC(=O)C1Cc2ccccc2C2(CC(=O)c3ccccc3O2)O1,1,2.0,1,2.0,0.18269230769230768,0.0,0.0,0.0,0.0,23,0.0,30
O=C1CCc2oc(-c3ccccc3O)c(O)c(=O)c2C1,1,2.0,1,2.0,0.17204301075268819,0.0,0.0,0.0,0.0,20,0.0,30
COC(=O)C1Cc2oc(-c3ccccc3)c(Br)c2C(=O)c2ccccc21,1,2.0,1,2.0,0.14285714285714285,0.0,0.0,0.0,0.0,26,0.0,30
CC(=O)C1Cc2ccccc2C=C2C(=O)CCC21,1,2.0,1,2.0,0.18478260869565216,0.0,0.0,0.0,0.0,18,0.0,30
CC1(C)OCCC2C1=CSC(=O)c1ccccc12,1,2.0,1,2.0,0.1978021978021978,0.0,0.0,0.0,0.0,18,0.0,30
CC(C)=CCCC1=C(CCl)C(=O)C(=Cc2ccccc2)C=C1C,1,2.0,1,2.0,0.14423076923076922,0.0,0.0,0.0,0.0,23,0.0,30
CN1C(=O)C(CC2=NCCO2)C2Cc3ccccc3CC21,1,2.0,1,2.0,0.14285714285714285,0.0,0.0,0.0,0.0,21,0.0,30
O=[N+]([O-])c1ccc2oc(-c3ccccc3)c(-c3ccccc3)c2c1,1,2.0,1,2.0,0.23157894736842105,0.0,0.0,0.0,0.0,24,0.0,30
O=C1CCC2Oc3ccccc3C1(O)C2=O,1,2.0,1,2.0,0.23076923076923078,0.0,0.0,0.0,0.0,16,0.0,30
CCC(=O)c1cc(-c2ccc3occc3c2)n[nH]1,1,2.0,1,2.0,0.13402061855670103,0.0,0.0,0.0,0.0,18,0.0,30
O=C(CC(=O)C1OC(=O)c2ccccc2C1O)c1ccccc1,1,2.0,1,2.0,0.19,0.0,0.0,0.0,0.0,23,0.0,30
CN(C)c1cccc2c1CCC(=O)C2=Cc1ccccc1,1,2.0,1,2.0,0.2,0.0,0.0,0.0,0.0,21,0.0,30
c1ccc(-c2c(-c3ccncc3)oc3ccccc23)cc1,1,2.0,1,2.0,0.21348314606741572,0.0,0.0,0.0,0.0,21,0.0,30
COC(=O)c1ccc(-c2oc3ccccc3c2C(=O)OC)cc1,1,2.0,1,2.0,0.2,0.0,0.0,0.0,0.0,23,0.0,30
O=C1CCc2oc(O)c(C(=O)c3ccccc3)c2-c2ccccc2O1,1,2.0,1,2.0,0.16379310344827586,0.0,0.0,0.0,0.0,25,0.0,30
COC(=O)C1Cc2ccccc2CN1,1,2.0,1,2.0,0.18181818181818182,0.0,0.0,0.0,0.0,14,0.0,30
COC(=O)C1(C2(C)OC(=O)CC2C)CCOc2ccccc21,1,2.0,1,2.0,0.18085106382978725,0.0,0.0,0.0,0.0,22,0.0,30
O=CC1=Cc2ccccc2C(=O)C1c1ccc(C(=O)O)cc1,1,2.0,1,2.0,0.16666666666666666,0.0,0.0,0.0,0.0,22,0.0,30
NC(=O)C1Cc2ccccc2C=CN1C1Oc2ccccc2C1=O,1,2.0,1,2.0,0.1743119266055046,0.0,0.0,0.0,0.0,24,0.0,30
O=C1OC(=Cc2ccccc2)C(O)C(=O)c2ccccc21,1,2.0,1,2.0,0.1827956989247312,0.0,0.0,0.0,0.0,21,0.0,30
O=C1OC(c2ccccc2F)c2ccccc21,1,2.0,1,2.0,0.2077922077922078,0.0,0.0,0.0,0.0,17,0.0,30
O=C(c1ccccc1)C1OC1c1cc(Cl)cc(Cl)c1O,1,2.0,1,2.0,0.13402061855670103,0.0,0.0,0.0,0.0,20,0.0,30
O=C1CC=C(c2ccccc2O)C(=O)C1,1,2.0,1,2.0,0.2054794520547945,0.0,0.0,0.0,0.0,15,0.0,30
COC(=O)C1(C2CC(c3ccccc3)=NN2)CSC1,1,2.0,1,2.0,0.16129032258064516,0.0,0.0,0.0,0.0,19,0.0,30
O=C1c2ccccc2C(O)CN1CCC1CC(c2ccccc2)C(O)O1,1,2.0,1,2.0,0.14634146341463414,0.0,0.0,0.0,0.0,26,0.0,30
O=C1CC(CC(=O)c2ccc3ccccc3n2)CN1,1,2.0,1,2.0,0.20212765957446807,0.0,0.0,0.0,0.0,19,0.0,30
O=C1SCC(COC(=O)c2ccccc2)S1,1,2.0,1,2.0,0.18072289156626506,0.0,0.0,0.0,0.0,16,0.0,30
O=C1CC(=O)C(O)(CC(=O)c2ccccc2)O1,1,2.0,1,2.0,0.24,0.0,0.0,0.0,0.0,17,0.0,30
O=C1CC(=C2C(=O)c3ccccc3N2O)C(=O)c2ccccc21,1,2.0,1,2.0,0.18947368421052632,0.0,0.0,0.0,0.0,23,0.0,30
O=C1c2cccnc2C(=O)N1C1CC(CO)CC1O,1,2.0,1,2.0,0.10526315789473684,0.0,0.0,0.0,0.0,19,0.0,30
O=CC1=C(C2=CCSc3ccccc32)OCCO1,1,2.0,1,2.0,0.16853932584269662,0.0,0.0,0.0,0.0,18,0.0,30
OOC1(OCc2ccccc2)CC(Br)C(Br)C1Cl,1,2.0,1,2.0,0.15476190476190477,0.0,0.0,0.0,0.0,18,0.0,30
COC(=O)c1oc2c(c1OC(=O)C=Cc1ccccc1O)c1ccccc1n2C,1,2.0,1,2.0,0.15503875968992248,0.0,0.0,0.0,0.0,29,0.0,30
CN(C)OC(=O)N1Cc2ccccc2C=C(C#N)C1=O,1,2.0,1,2.0,0.15306122448979592,0.0,0.0,0.0,0.0,20,0.0,30
O=C1CC(=C2CC(=O)c3ccccc3N2)C(=O)O1,1,2.0,1,2.0,0.20987654320987653,0.0,0.0,0.0,0.0,18,0.0,30
COC(=O)C1(C2CC(=O)O2)CSc2ccccc2C1,1,2.0,1,2.0,0.22093023255813954,0.0,0.0,0.0,0.0,19,0.0,30
O=CSCc1ccc(N2C(=O)COC2=O)cc1,1,2.0,1,2.0,0.125,0.0,0.0,0.0,0.0,17,0.0,30
COc1ccccc1NS(=O)(=O)c1ccc(C)cc1,1,2.0,1,2.0,0.18823529411764706,0.0,0.0,0.0,0.0,19,0.0,30
O=C1CCc2oc3ccccc3c2C1=O,1,1.9607843137254901,1,1.9607843137254901,0.2702702702702703,0.0,0.0,0.0,0.0,15,0.0,40
O=C1CCCC(=CCSc2ccccc2O)C1=O,1,1.9607843137254901,1,1.9607843137254901,0.15217391304347827,0.0,0.0,0.0,0.0,18,0.0,40
O=C1CC(=Nc2cccc3cccnc23)C(=O)c2ccccc21,1,1.9607843137254901,1,1.9607843137254901,0.17475728155339806,0.0,0.0,0.0,0.0,23,0.0,40
O=C1CC(=C2OC(=O)c3ccccc3C2=O)Nc2ccccc21,1,1.9607843137254901,1,1.9607843137254901,0.1836734693877551,0.0,0.0,0.0,0.0,23,0.0,40
O=CC1=Cc2ccccc2CC1=O,1,1.9607843137254901,1,1.9607843137254901,0.21739130434782608,0.0,0.0,0.0,0.0,13,0.0,40
O=C1c2ccccc2C(=O)C1(Cc1ccc(Br)cc1)S(=O)(=O)c1ccc(Cl)cc1,1,1.9607843137254901,1,1.9607843137254901,0.16964285714285715,0.0,0.0,0.0,0.0,29,0.0,40
O=C1CC(=Cc2ccccc2O)C(=O)c2ccccc21,1,1.9607843137254901,1,1.9607843137254901,0.16304347826086957,0.0,0.0,0.0,0.0,20,0.0,40
COC(=O)C1=CN(S(=O)(=O)c2ccccc2)CCO1,1,1.9607843137254901,1,1.9607843137254901,0.18181818181818182,0.0,0.0,0.0,0.0,19,0.0,40
O=C1CCC(=O)N1c1ccccc1,1,1.9607843137254901,1,1.9607843137254901,0.2,0.0,0.0,0.0,0.0,13,0.0,40
O=CCCC1(CCc2ccccc2)NC(=O)NC1c1ccc(Cl)cc1,1,1.9607843137254901,1,1.9607843137254901,0.1415929203539823,0.0,0.0,0.0,0.0,25,0.0,40
O=CC1=Cc2ccccc2CC1(O)c1ccccc1,1,1.9607843137254901,1,1.9607843137254901,0.1839080459770115,0.0,0.0,0.0,0.0,19,0.0,40
NC(=O)C1(c2ccccc2)NC(=O)C1(O)Cc1ccccc1,1,1.9607843137254901,1,1.9607843137254901,0.18888888888888888,0.0,0.0,0.0,0.0,22,0.0,40
O=C1OC(C2Cc3ccccc3O2)C(=O)c2ccccc21,1,1.9607843137254901,1,1.9607843137254901,0.16161616161616163,0.0,0.0,0.0,0.0,21,0.0,40
O=CN1C(=O)C(Cc2ccco2)CC1c1ccccc1,1,1.9607843137254901,1,1.9607843137254901,0.16326530612244897,0.0,0.0,0.0,0.0,20,0.0,40
CCSC(=O)C1(F)CC2=C(C)c3ccccc3C1O2,1,1.9607843137254901,1,1.9607843137254901,0.17894736842105263,0.0,0.0,0.0,0.0,19,0.0,40
