Substructure,Count,Count max,step max,step min,step count,step_list,median_score_fragment_max,median_score_fragment_min,Mean score cluster,median_score_fragment_list,diff_median_score_max,diff_median_score_min,Mean diff score,diff_median_score_list,count_per_molecule_max,count_per_molecule_first,count_per_molecule_mean,Total Number of Molecules with Substructure,Number of Molecules with Substructure List,Molecules containing fragment,Number of Molecules_with_Fragment,count_perc_ratio
CC(C)(C)C(C)(OC(=O)c1ccccc1[N+](=O)[O-])c1ccccc1,1,1,20,20,1,[20],0.0059799,0.0059799,0.0059799,[0.0059799],0.0026355999999999,0.0026355999999999,0.0026355999999999,[0.0026355999999999],2,2,2.0,2,[2],{'CC(C)(C)C(C)(OC(=O)c1ccccc1[N+](=O)[O-])c1ccccc1'},1,1.0
CC(C)(C)OC(=O)N1CCCCC1C(=O)c1ccccc1C(=O)c1ccccc1,1,1,10,10,1,[10],0.0100411499999999,0.0100411499999999,0.0100411499999999,[0.0100411499999999],0.0037556999999999,0.0037556999999999,0.0037556999999999,[0.0037556999999999],3,3,3.0,3,[3],"{'O=CN1c2ccccc2SC1C(=O)c1ccc(O)cc1', 'CC(C)(C)OC(=O)N1CCCCC1C(=O)c1ccccc1C(=O)c1ccccc1'}",2,1.0
CC(C)(C)OC1C(=O)c2ccccc2C1O,1,1,30,30,1,[30],0.00703345,0.00703345,0.00703345,[0.00703345],-0.00159125,-0.00159125,-0.00159125,[-0.00159125],3,3,3.0,3,[3],"{'CC(C)(C)OC1C(=O)c2ccccc2C1O', 'O=C1CCC(COC(=O)c2ccccc2)c2ccccc2N1'}",2,1.0
CC(C)(C)c1cc(-c2oc(-c3ccccc3)c3ccccc23)cc(C(C)(C)C)c1O,1,1,440,440,1,[440],0.4411519499999999,0.4411519499999999,0.4411519499999999,[0.4411519499999999],-0.03009375,-0.03009375,-0.03009375,[-0.03009375],17,17,17.0,17,[17],"{'CON(OC)c1ccc(-c2oc(-c3ccccc3)c3ccccc23)cc1', 'COc1ccc(-c2oc(-c3ccccc3)c3ccccc23)cc1OC', 'Cc1ccc(-c2oc(-c3ccc(Cl)c(C)c3)c3cc(F)ccc23)cc1', 'COc1ccc2c(-c3ccc(SC)cc3)oc(-c3ccccc3)c2c1', 'COCc1oc(-c2ccccc2)c2ccccc12', 'Nc1ccc(-c2oc(-c3ccccc3)c3ccc(Cl)cc23)cc1', 'O=C1NC(O)=NC1=Cc1ccc(Cl)cc1', 'CN(C)c1ccc(-c2oc(-c3ccc(N)cc3)c3cccc(F)c23)cc1', 'COc1ccc(-c2oc(-c3ccccc3)c3cc(Br)ccc23)cc1', 'CC(C)(C)c1cc(-c2oc(-c3ccccc3)c3ccccc23)cc(C(C)(C)C)c1O', 'O=C1NC(Cl)=NC1=Cc1cccs1', 'Clc1ccc(-c2oc(-c3ccccc3)c3cccc(Br)c23)cc1Cl', 'CCc1ccc(-c2oc(-c3ccccc3)c3ccccc23)cc1Cl', 'COSc1ccc(-c2oc(-c3ccccc3)c3ccccc23)cc1O', 'O=C1OC(=Cc2ccoc2)N=C1c1ccc(Br)cc1', 'CCOc1ccc(-c2oc(-c3ccccc3)c3ccccc23)cc1OC'}",16,1.0
CC(C)(C)c1ccc(-c2oc(-c3ccc(N)cc3)c3ccccc23)cc1,1,1,480,480,1,[480],0.4389448,0.4389448,0.4389448,[0.4389448],0.000689,0.000689,0.000689,[0.000689],18,18,18.0,18,[18],"{'CC(C)(C)c1ccc(-c2oc(-c3ccccc3)c3ccc(Br)cc23)cc1', 'CC(C)(C)c1ccc(-c2oc(-c3ccc(N)cc3)c3ccccc23)cc1', 'CNc1ccc(-c2oc(-c3ccc(C)cc3)c3ccccc23)cc1', 'S=C(Nc1ccccc1)c1ccc(Cl)cc1', 'CSc1ccc(-c2oc(-c3ccccc3)c3ccc(F)cc23)cc1', 'CCOc1ccc(-c2oc(-c3ccccc3)c3cc(Br)ccc23)cc1', 'CNc1ccc(-c2oc(-c3ccc(OC)cc3)c3ccccc23)cc1', 'C#CNc1ccc(-c2oc(-c3ccccc3)c3ccccc23)cc1', 'COc1cc(OC)cc(-c2oc(-c3ccc(F)cc3)c3ccccc23)c1', 'CS(=O)(=O)c1ccc(-c2oc(-c3ccccc3)c3ccc(F)cc23)cc1', 'O=C1C(=Cc2ccco2)N=Cc2ccc(Cl)cc21', 'CC(=O)Oc1ccc(-c2oc(-c3ccc(N(C)C)cc3)c3ccccc23)cc1', 'Brc1ccc2c(-c3ccccc3)oc(-c3ccccc3)c2c1', 'ClC(=C1C=CC(Nc2ccco2)=C1)c1ccccc1', 'O=C1C=NC(=C2Nc3ccccc3OC2=O)O1', 'Cc1cc(C)cc(-c2oc(-c3ccccc3)c3ccc(Cl)cc23)c1', 'O=C1CC(c2ccccc2)=NC1=Cc1ccco1'}",17,1.0
CC(C)C1COC(=O)N1C(=O)c1ccc(-c2ccccc2O)o1,1,1,70,70,1,[70],0.0507905,0.0507905,0.0507905,[0.0507905],0.0414769,0.0414769,0.0414769,[0.0414769],3,3,3.0,3,[3],"{'O=C1Cc2c(c(-c3ccccc3)nc3ccccc23)C1=O', 'CC(C)C1COC(=O)N1C(=O)c1ccc(-c2ccccc2O)o1'}",2,1.0
CC(C)OCc1ccc(-c2oc(-c3ccccc3)c3ccccc23)cc1,1,1,310,310,1,[310],0.4617994,0.4617994,0.4617994,[0.4617994],0.0097338,0.0097338,0.0097338,[0.0097338],2,2,2.0,2,[2],{'CC(C)OCc1ccc(-c2oc(-c3ccccc3)c3ccccc23)cc1'},1,1.0
CC(C)Oc1ccc(-c2oc(-c3ccccc3)c3ccc(Cl)cc23)cc1,1,1,480,480,1,[480],0.2337557499999999,0.2337557499999999,0.2337557499999999,[0.2337557499999999],-0.2058093,-0.2058093,-0.2058093,[-0.2058093],3,3,3.0,3,[3],"{'CCc1ccc(N(C)CC)c2c(Br)c(-c3ccccc3)oc12', 'CC(C)Oc1ccc(-c2oc(-c3ccccc3)c3ccc(Cl)cc23)cc1'}",2,1.0
CC(C)Oc1ccc(-c2oc(-c3ccccc3)c3ccccc23)cc1,1,1,330,330,1,[330],0.4425749,0.4425749,0.4425749,[0.4425749],-0.0167377,-0.0167377,-0.0167377,[-0.0167377],22,22,22.0,22,[22],"{'CC(C)(C)OC(=O)c1ccc(-c2oc(-c3ccccc3)c3ccccc23)cc1', 'COc1ccc(-c2oc(-c3ccc(OC)c(O)c3)c3ccccc23)cc1', 'COc1nc(-c2oc(-c3ccccc3)c3ccccc23)no1', 'OC(c1ccccc1)c1ccc(-c2oc(-c3ccc(F)cc3)c3ccccc23)cc1', 'O=C(O)c1ccc(-c2oc(-c3ccc(Cl)cc3)c3ccccc23)cc1', 'COCc1oc(-c2oc(-c3ccccc3)c3ccc(Br)cc23)cc1OC', 'Cc1cc(-c2oc(-c3ccc([N+](=O)[O-])cc3)c3ccccc23)no1', 'CC(C)Oc1ccc(-c2oc(-c3ccccc3)c3ccccc23)cc1', 'CC(C)(C)OC(=O)c1ccc(-c2oc(-c3ccc(F)cc3)c3ccccc23)cc1', 'COc1ccc(-c2oc(-c3ccc(OC(=O)O)c(OC)c3)c3ccccc23)cc1', 'CS(=O)(=O)c1ccc(-c2oc(-c3ccc(Cl)cc3)c3ccccc23)o1', 'COc1cc(-c2oc(-c3ccc(Br)cc3)c3ccccc23)oc1OC', 'CCOC(=O)c1ccc(-c2oc(-c3ccc([N+](=O)[O-])cc3)c3ccccc23)cc1', 'CC(=O)c1ccc(-c2oc(-c3ccc(Cl)cc3)c3ccc(Br)cc23)cc1', 'COc1ccc(-c2oc(-c3ccc(F)cc3)c3ccccc23)cc1', 'CCOC(=O)c1ccc(-c2oc(-c3ccc(N(C)C)cc3)c3ccccc23)cc1', 'O=C1OC(c2ccco2)=NC1=Cc1ccc[nH]1', 'CS(=O)(=O)c1ccc(-c2oc(-c3ccc(N)cc3)c3ccccc23)cc1', 'CCC(=O)Oc1ccc(-c2oc(-c3ccc(OC)cc3)c3ccc(OC)cc23)cc1', 'CCOC(=O)c1ccc(-c2oc(-c3ccc(Cl)cc3)c3ccccc23)cc1', 'CC(C)c1ccc(-c2oc(-c3ccc([N+](=O)[O-])cc3)c3ccccc23)cc1'}",21,1.0
CC(C)Oc1ccc(-c2oc(-c3ccco3)c3ccccc23)cc1,1,1,490,490,1,[490],0.4394968,0.4394968,0.4394968,[0.4394968],-0.0204028,-0.0204028,-0.0204028,[-0.0204028],2,2,2.0,2,[2],{'CC(C)Oc1ccc(-c2oc(-c3ccco3)c3ccccc23)cc1'},1,1.0
CC(C)S(=O)(=O)c1coc(-c2ccc(F)cc2)c1,1,1,70,70,1,[70],0.0055547,0.0055547,0.0055547,[0.0055547],-0.0060072999999999,-0.0060072999999999,-0.0060072999999999,[-0.0060072999999999],2,2,2.0,2,[2],{'CC(C)S(=O)(=O)c1coc(-c2ccc(F)cc2)c1'},1,1.0
CC(C)c1ccc(-c2oc(-c3ccc(Br)cc3)c3ccccc23)cc1,1,1,500,500,1,[500],0.4844355,0.4844355,0.4844355,[0.4844355],0.0303202999999999,0.0303202999999999,0.0303202999999999,[0.0303202999999999],2,2,2.0,2,[2],{'CC(C)c1ccc(-c2oc(-c3ccc(Br)cc3)c3ccccc23)cc1'},1,1.0
CC(C)c1ccc(-c2oc(-c3ccc(F)cc3)c3ccccc23)cc1,1,1,440,440,1,[440],0.4772424,0.4772424,0.4772424,[0.4772424],0.03498205,0.03498205,0.03498205,[0.03498205],2,2,2.0,2,[2],{'CC(C)c1ccc(-c2oc(-c3ccc(F)cc3)c3ccccc23)cc1'},1,1.0
CC(C)c1ccc(-c2oc(-c3ccc(N)cc3)c3ccccc23)cc1,1,1,460,460,1,[460],0.4559744,0.4559744,0.4559744,[0.4559744],0.00292075,0.00292075,0.00292075,[0.00292075],2,2,2.0,2,[2],{'CC(C)c1ccc(-c2oc(-c3ccc(N)cc3)c3ccccc23)cc1'},1,1.0
CC(O)C1c2ccccc2C(=O)N1C(=O)OC(C)(C)C,1,1,60,60,1,[60],0.0018637,0.0018637,0.0018637,[0.0018637],-0.0030082,-0.0030082,-0.0030082,[-0.0030082],2,2,2.0,2,[2],{'CC(O)C1c2ccccc2C(=O)N1C(=O)OC(C)(C)C'},1,1.0
CC(O)c1ccc(-c2oc(-c3ccccc3)c3ccccc23)cc1O,1,1,430,430,1,[430],0.45579585,0.45579585,0.45579585,[0.45579585],0.14457965,0.14457965,0.14457965,[0.14457965],25,25,25.0,25,[25],"{'Cc1cc(-c2oc(-c3ccccc3)c3ccccc23)cc(C)c1O', 'CCOc1ccc(-c2oc(-c3ccccc3)c3ccccc23)cc1Br', 'CCC(C)Oc1ccc(-c2oc(-c3ccc(N)cc3)c3ccccc23)cc1', 'CCC(C)Oc1ccc(-c2oc(-c3ccc(F)cc3)c3ccc(Br)cc23)cc1', 'COOc1cccc(-c2oc(-c3ccccc3)c3ccccc23)c1OC', 'Cc1ccc(-c2oc(-c3ccccc3)c3ccccc23)cc1Br', 'CCC(=O)Oc1ccc(-c2oc(-c3ccc([N+](=O)[O-])cc3)c3ccccc23)cc1', 'CCc1ccc(-c2oc(-c3ccccc3)c3ccc(Br)cc23)cc1', 'CS(=O)(=O)c1ccc(-c2oc(-c3cccnc3)c3ccccc23)o1', 'CS(=O)(=O)c1ccc(-c2oc(-c3ccccc3)c3ccc(O)cc23)o1', 'CCOc1ccc(-c2oc(-c3ccc(C)cc3)c3ccccc23)cc1', 'COCc1ccc(-c2oc(-c3ccccc3)c3ccc(F)cc23)cc1Cl', 'CC(C)(C)OC(=O)c1oc(-c2ccccc2)c2ccccc12', 'CCc1ccc(-c2oc(-c3ccccc3)c3ccccc23)cc1Br', 'CCC(=O)Oc1ccc(-c2oc(-c3ccc(OC)cc3)c3ccccc23)cc1', 'CCOc1ccc(-c2oc(-c3ccccc3)c3ccc(Br)cc23)cc1', 'COc1ccc(-c2oc(-c3ccc(OC(C)=O)cc3)c3ccccc23)cc1', 'CCOc1ccc(-c2oc(-c3ccc(F)cc3)c3ccccc23)cc1', 'CC(C)(C)OC(=O)c1ccc(-c2oc(-c3ccccc3)c3ccccc23)o1', 'COc1cc(OC)cc(-c2oc(-c3ccccc3)c3ccccc23)c1', 'CC(O)c1ccc(-c2oc(-c3ccccc3)c3ccccc23)cc1O', 'FC(F)(Br)c1cc(-c2oc(-c3ccccc3)c3ccccc23)ccc1Cl', 'COc1ccc(-c2oc(-c3ccccc3)c3ccc(C)cc23)cc1', 'COC(=O)c1ccc(-c2oc(-c3ccccc3)c3ccccc23)cc1Cl'}",24,1.0
CC1(C)OC(=Cc2cccc3cccnc23)C1=O,1,1,90,90,1,[90],0.0746939,0.0746939,0.0746939,[0.0746939],0.0476766,0.0476766,0.0476766,[0.0476766],3,3,3.0,3,[3],"{'Cc1oc2ccccc2c1S(=O)(=O)c1ccc(F)cc1', 'CC1(C)OC(=Cc2cccc3cccnc23)C1=O'}",2,1.0
CC1(C)OC(=O)N(Cc2ccccc2)C1=O,1,1,50,50,1,[50],0.0003029,0.0003029,0.0003029,[0.0003029],-0.0068395,-0.0068395,-0.0068395,[-0.0068395],2,2,2.0,2,[2],{'CC1(C)OC(=O)N(Cc2ccccc2)C1=O'},1,1.0
CC1(C)OCCC2C1=CSC(=O)c1ccccc12,1,1,30,30,1,[30],0.001926,0.001926,0.001926,[0.001926],-0.0081981,-0.0081981,-0.0081981,[-0.0081981],2,2,2.0,2,[2],{'CC1(C)OCCC2C1=CSC(=O)c1ccccc12'},1,1.0
CC1(O)Oc2ccccc2C1=O,1,1,130,130,1,[130],0.011553,0.011553,0.011553,[0.011553],-0.2390202,-0.2390202,-0.2390202,[-0.2390202],2,2,2.0,2,[2],{'CC1(O)Oc2ccccc2C1=O'},1,1.0
CC=C1C(=O)N(CC)C(=O)CC1c1ccccc1,1,1,10,10,1,[10],0.0016493,0.0016493,0.0016493,[0.0016493],-0.005046,-0.005046,-0.005046,[-0.005046],2,2,2.0,2,[2],{'CC=C1C(=O)N(CC)C(=O)CC1c1ccccc1'},1,1.0
CCC(=O)Oc1ccc(-c2oc(-c3ccc(N)cc3)c3ccccc23)cc1,1,1,460,460,1,[460],0.45305365,0.45305365,0.45305365,[0.45305365],-0.00292075,-0.00292075,-0.00292075,[-0.00292075],21,21,21.0,21,[21],"{'COc1ccc(-c2oc(-c3ccccc3)c3cccc(C)c23)cc1', 'CC(C)(C)Oc1ccc(-c2oc(-c3ccc(F)cc3)c3ccccc23)cc1', 'O=C(CBr)Oc1ccc(-c2oc(-c3ccccc3)c3ccccc23)cc1', 'COc1ccc(-c2oc(-c3ccccc3)c3ccc(N)cc23)cc1', 'Nc1cc(-c2oc(-c3ccccc3)c3cc(Cl)ccc23)ccc1Cl', 'COc1ccccc1-c1oc(-c2ccccc2)c2ccccc12', 'Cc1ccc(-c2oc(-c3ccccc3)c3ccc([N+](=O)[O-])cc23)cc1', 'Cc1cc(-c2oc(-c3ccccc3)c3ccc(O)cc23)cc(C)c1O', 'CCC(C)(C)c1ccc(-c2oc(-c3ccccc3)c3ccccc23)cc1Cl', 'Cc1ccc(-c2oc(-c3ccccc3)c3cccc(C)c23)cc1', 'CCC(=O)Oc1ccc(-c2oc(-c3ccc(N)cc3)c3ccccc23)cc1', 'Cc1ccc(-c2oc(-c3ccccc3)c3ccc(F)cc23)cc1', 'COC(=O)Oc1ccc(-c2oc(-c3ccc(Cl)cc3)c3ccccc23)cc1', 'COc1ccc(-c2oc(-c3ccc(N)cc3)c3ccccc23)cc1O', 'CCc1ccc(-c2oc(-c3ccccc3)c3cc(OC)ccc23)cc1', 'O=C1C=NC(=Cc2ccc[nH]2)O1', 'COc1ccc(-c2oc(-c3ccccc3)c3ccc(F)cc23)cc1', 'CSc1ccc(-c2oc(-c3ccccc3)c3ccc(F)cc23)o1', 'FC(F)(F)c1ccc(-c2oc(-c3ccccc3)c3ccccc23)cc1Cl', 'c1ccc(-c2oc(-c3ccc(N4CCOC4)cc3)c3ccccc23)cc1'}",20,1.0
CCC(=O)Oc1ccc(-c2oc(-c3ccc(OC)cc3)c3ccccc23)o1,1,1,320,320,1,[320],0.4120571,0.4120571,0.4120571,[0.4120571],-0.03545605,-0.03545605,-0.03545605,[-0.03545605],2,2,2.0,2,[2],{'CCC(=O)Oc1ccc(-c2oc(-c3ccc(OC)cc3)c3ccccc23)o1'},1,1.0
CCC(=O)c1cc(-c2ccc3occc3c2)n[nH]1,1,1,30,30,1,[30],0.0,0.0,0.0,[0.0],-0.0101241,-0.0101241,-0.0101241,[-0.0101241],2,2,2.0,2,[2],{'CCC(=O)c1cc(-c2ccc3occc3c2)n[nH]1'},1,1.0
CCC(=O)c1ccc(-c2oc(-c3ccc(OC)cc3)c3ccccc23)cc1,1,1,260,260,1,[260],0.4345327,0.4345327,0.4345327,[0.4345327],-0.0118079999999999,-0.0118079999999999,-0.0118079999999999,[-0.0118079999999999],2,2,2.0,2,[2],{'CCC(=O)c1ccc(-c2oc(-c3ccc(OC)cc3)c3ccccc23)cc1'},1,1.0
CCC(=O)c1ccc(OC)c(C(C)=O)c1,1,1,80,80,1,[80],0.1809341,0.1809341,0.1809341,[0.1809341],0.17427395,0.17427395,0.17427395,[0.17427395],3,3,3.0,3,[3],"{'O=C1CC(=C2Nc3ccccc3C2=O)C(=O)O1', 'CCC(=O)c1ccc(OC)c(C(C)=O)c1'}",2,1.0
CCC(C)OC(=O)C1=Cc2ccccc2CC1=O,1,1,50,50,1,[50],0.0428171,0.0428171,0.0428171,[0.0428171],0.0357592999999999,0.0357592999999999,0.0357592999999999,[0.0357592999999999],2,2,2.0,2,[2],{'CCC(C)OC(=O)C1=Cc2ccccc2CC1=O'},1,1.0
CCC(C)c1ccc(-c2oc(-c3ccccc3)c3ccc(O)cc23)cc1,1,1,410,410,1,[410],0.442081,0.442081,0.442081,[0.442081],-0.0020196,-0.0020196,-0.0020196,[-0.0020196],4,4,4.0,4,[4],"{'O=C1NC(c2ccccc2)=NC1=Cc1ccco1', 'CNc1ccc(-c2oc(-c3ccc(OC)c(O)c3)c3ccccc23)cc1', 'CCC(C)c1ccc(-c2oc(-c3ccccc3)c3ccc(O)cc23)cc1'}",3,1.0
CCC(C)c1ccc(-c2oc(-c3ccccc3Br)c3ccc(O)cc23)cc1,1,1,280,280,1,[280],0.4236582,0.4236582,0.4236582,[0.4236582],-0.0220804,-0.0220804,-0.0220804,[-0.0220804],2,2,2.0,2,[2],{'CCC(C)c1ccc(-c2oc(-c3ccccc3Br)c3ccc(O)cc23)cc1'},1,1.0
CCC(Cc1ccccc1)OC(=O)C1(O)CC(=O)C=C1C(=O)c1ccccc1O,1,1,10,10,1,[10],0.0200748,0.0200748,0.0200748,[0.0200748],0.0136,0.0136,0.0136,[0.0136],2,2,2.0,2,[2],{'CCC(Cc1ccccc1)OC(=O)C1(O)CC(=O)C=C1C(=O)c1ccccc1O'},1,1.0
CCC(F)(Br)C1=NOC(C)(CO)C1=O,1,1,50,50,1,[50],0.0165258,0.0165258,0.0165258,[0.0165258],0.0095009,0.0095009,0.0095009,[0.0095009],4,4,4.0,4,[4],"{'O=C1CCC(=Cc2ccccc2)OC1O', 'COc1ccc2c(c1)C(=O)C(SC)=CC2=O', 'CCC(F)(Br)C1=NOC(C)(CO)C1=O'}",3,1.0
CCC(O)C1COC(=O)c2oc(-c3ccccc3)c(O)c2C1,1,1,10,10,1,[10],0.0161854,0.0161854,0.0161854,[0.0161854],0.0100892999999999,0.0100892999999999,0.0100892999999999,[0.0100892999999999],6,6,6.0,6,[6],"{'CCC(O)C1COC(=O)c2oc(-c3ccccc3)c(O)c2C1', 'c1ccc(-c2oc3ccccc3c2-c2ccccc2)cc1', 'CC1C(=O)C(CC(C)(C)C)SS(=O)(=O)c2ccccc21', 'CN(CCOC1(O)C(=O)C=CC1OC(=O)c1ccccc1)c1ccccc1', 'O=C1CCC(=C2CCc3ccccc32)N1'}",5,1.0
CCC1(O)c2ccccc2C(=O)c2ccc(OC)cc21,1,1,40,40,1,[40],0.0070812,0.0070812,0.0070812,[0.0070812],0.00495925,0.00495925,0.00495925,[0.00495925],2,2,2.0,2,[2],{'CCC1(O)c2ccccc2C(=O)c2ccc(OC)cc21'},1,1.0
